BARNSTABLE,41.7003,-70.3002
BOURNE,41.7413,-70.5989
BREWSTER,41.7601,-70.0828
CHATHAM,41.6821,-69.9598
DENNIS,41.7353,-70.1939
EASTHAM,41.83,-69.974
FALMOUTH,41.5532,-70.6086
HARWICH,41.6716,-70.0622
MASHPEE,41.6479,-70.482
ORLEANS,41.7898,-69.9897
PROVINCETOWN,42.0584,-70.1786
SANDWICH,41.759,-70.4939
TRURO,41.9948,-70.049
WELLFLEET,41.9305,-70.031
YARMOUTH,41.7056,-70.2287
ADAMS,42.6242,-73.1174
ALFORD,42.2356,-73.4134
BECKET,42.332,-73.0829
CHESHIRE,42.562,-73.1629
CLARKSBURG,42.717,-73.0927
DALTON,42.4737,-73.1662
EGREMONT,42.1777,-73.4416
FLORIDA,42.6668,-73.0112
GREAT BARRINGTON,42.196,-73.362
HANCOCK,42.5431,-73.3237
HINSDALE,42.4387,-73.1254
LANESBOROUGH,42.5173,-73.2282
LEE,42.3042,-73.2482
LENOX,42.3565,-73.2849
MONTEREY,42.1793,-73.2121
MOUNT WASHINGTON,42.085,-73.4517
NEW ASHFORD,42.6051,-73.2396
NEW MARLBOROUGH,42.1112,-73.2529
NORTH ADAMS,42.7009,-73.1087
OTIS,42.193,-73.092
PERU,42.4381,-73.0459
PITTSFIELD,42.4501,-73.2454
RICHMOND,42.373,-73.3677
SANDISFIELD,42.1126,-73.1432
SAVOY,42.5668,-73.0287
SHEFFIELD,42.11,-73.3551
STOCKBRIDGE,42.2876,-73.3204
TYRINGHAM,42.2459,-73.2037
WASHINGTON,42.3659,-73.1162
WEST STOCKBRIDGE,42.3338,-73.3678
WILLIAMSTOWN,42.712,-73.2037
WINDSOR,42.509,-73.0457
ACUSHNET,41.7224,-70.8952
ATTLEBORO,41.9445,-71.2856
BERKLEY,41.8459,-71.0828
DARTMOUTH,41.613,-70.9705
DIGHTON,41.8439,-71.1567
EASTON,42.0245,-71.1287
FAIRHAVEN,41.6376,-70.9036
FALL RIVER,41.7015,-71.155
FREETOWN,41.762,-71.0141
MANSFIELD,42.0335,-71.2191
MANSFIELD,42.0335,-71.2191
NEW BEDFORD,41.6362,-70.9342
NORTH ATTLEBOROUGH,41.9696,-71.3565
NORTON,41.9668,-71.187
RAYNHAM,41.9487,-71.0731
REHOBOTH,41.847,-71.2394
SEEKONK,41.8084,-71.337
SOMERSET,41.7695,-71.1286
SWANSEA,41.7482,-71.1896
TAUNTON,41.9001,-71.0898
WESTPORT,41.57,-71.0735
AQUINNAH,41.3352,-70.8008
CHILMARK,41.3432,-70.7448
EDGARTOWN,41.389,-70.5134
GOSNOLD,41.4521,-70.8358
